Код	Магазин	Жанр	Назва Худ. фільм	Ціна за одиницю	Кількість	Всього виторг, грн.
546	Всесвіт	Бойовик	Термінатор	9	2	18
621	Сатурн	Фантастика	Зоряні війни	13	3	39
876	Континент	Драма	Бляшаний кубок	7	3	21
999	Континент	Фільм жахи	Захід-притулок вампірів	4	3	12
432	Сатурн	Фантастика	Назад у минуле	12	4	48
677	Стиль	Фантастика	Лангольєри	14	4	56
888	Континент	Фільм жахи	Іствікські відьми	7	4	28
999	Всесвіт	Фільм жахи	Захід-притулок вампірів	4	5	20
544	Всесвіт	Драма	Під роялем	8	6	48
654	Стиль	Драма	Уолл-стріт	7	6	42
876	Сатурн	Драма	Бляшаний кубок	7	6	42
987	Стиль	Фільм жахи	Армія темряви	5	6	30
432	Всесвіт	Фантастика	Назад у минуле	12	7	84
543	Всесвіт	Комедія	Близнюки	6	7	42
543	Континент	Комедія	Близнюки	6	7	42
544	Континент	Драма	Під роялем	8	7	56
546	Стиль	Бойовик	Термінатор	9	7	63
654	Континент	Драма	Уолл-стріт	7	7	49
678	Сатурн	Комедія	Бум 1,2	6	7	42
765	Всесвіт	Драма	Аптечний ковбой	5	7	35
987	Всесвіт	Фільм жахи	Армія темряви	5	7	35
544	Сатурн	Драма	Під роялем	8	8	64
654	Сатурн	Драма	Уолл-стріт	7	8	56
765	Сатурн	Драма	Аптечний ковбой	5	8	40
888	Сатурн	Фільм жахи	Іствікські відьми	7	8	56
987	Сатурн	Фільм жахи	Армія темряви	5	8	40
999	Сатурн	Фільм жахи	Захід-притулок вампірів	4	8	32
123	Стиль	Бойовик	Міцний горішок	13	9	117
543	Сатурн	Комедія	Близнюки	6	9	54
544	Стиль	Драма	Під роялем	8	9	72
765	Континент	Драма	Аптечний ковбой	5	9	45
876	Стиль	Драма	Бляшаний кубок	7	9	63
888	Стиль	Фільм жахи	Іствікські відьми	7	9	63
999	Стиль	Фільм жахи	Захід-притулок вампірів	4	9	36
754	Всесвіт	Бойовик	Подвійний удар	6	10	60
888	Всесвіт	Фільм жахи	Іствікські відьми	7	10	70
621	Континент	Фантастика	Зоряні війни	13	11	143
111	Стиль	Комедія	За двома зайцями	11	12	132
333	Континент	Комедія	Шельменко денщик	10	12	120
543	Стиль	Комедія	Близнюки	6	12	72
679	Стиль	Комедія	Бум 1,3	6	12	72
754	Сатурн	Бойовик	Подвійний удар	6	12	72
754	Стиль	Бойовик	Подвійний удар	6	12	72
444	Всесвіт	Фантастика	Космічна поліція	6	13	78
222	Стиль	Комедія	Весілля у Малинівці	12	14	168
444	Континент	Фантастика	Космічна поліція	6	14	84
222	Континент	Комедія	Весілля у Малинівці	12	15	180
444	Стиль	Фантастика	Космічна поліція	6	15	90
678	Континент	Комедія	Бум 1,2	6	15	90
222	Всесвіт	Комедія	Весілля у Малинівці	12	16	192
666	Континент	Фантастика	Синій оксамит	9	16	144
333	Всесвіт	Комедія	Шельменко денщик	10	17	170
555	Сатурн	Фантастика	Викрадення Європи	13	17	221
333	Стиль	Комедія	Шельменко денщик	10	18	180
666	Стиль	Фантастика	Синій оксамит	9	18	162
111	Континент	Комедія	За двома зайцями	11	19	209
555	Стиль	Фантастика	Викрадення Європи	13	19	247
754	Континент	Бойовик	Подвійний удар	6	19	114
222	Сатурн	Комедія	Весілля у Малинівці	12	21	252
111	Сатурн	Комедія	За двома зайцями	11	23	253
111	Всесвіт	Комедія	За двома зайцями	11	31	341
123	Сатурн	Бойовик	Міцний горішок	13	45	585
677	Континент	Фантастика	Лангольєри	14	50	700
